feature,n_septic,n_control,mean_septic,mean_control,hedges_g,univariate_auc,welch_t,p_welch,p_mannwhitney,q_welch,q_mannwhitney,significant,abs_g
pH_dev,1030,8215,2.00615951520407,1.4579947307464176,0.3206662062553086,0.5871201153466604,8.515737630750293,4.8028265428788506e-17,6.871985613125344e-20,2.106839910142856e-16,3.4255807071488457e-19,True,0.3206662062553086
modified_shock_index,1253,12979,1.176138284533669,1.102919457974424,0.31821041953623874,0.5859108030548703,9.9070847605502,1.9495734616324397e-22,8.322924462203512e-24,1.210206922409571e-21,5.166494618990482e-23,True,0.31821041953623874
HR_min6,1253,12980,82.28464380189693,77.91193277861561,0.31489556921658174,0.5847724475127183,9.692766608598497,1.4350544026773908e-21,3.193773493396905e-23,8.743201823719658e-21,1.9458360728288548e-22,True,0.31489556921658174
Calcium_obs_rate,1253,12981,0.06970147222981224,0.05317346486678919,0.3087199491838769,0.5906422690465462,9.304259748261273,4.8508973864358047e-20,1.7731479306126544e-26,2.5332464129164757e-19,1.241203551428858e-25,True,0.3087199491838769
Phosphate_obs_rate,1253,12981,0.06980896675906272,0.05351383213950784,0.30501230806941987,0.5898254020102928,9.192934102376405,1.296359265569438e-19,5.18046224079635e-26,6.561572282651462e-19,3.5507751608791644e-25,True,0.30501230806941987
sofa_renal,1172,12743,0.7423256440302707,0.4623151321252345,0.3015696473558542,0.5826987861099676,8.55235941557021,3.273677360066509e-17,3.354325294242599e-29,1.475397056797098e-16,2.6275548138233694e-28,True,0.3015696473558542
DBP_std6,889,8158,5.557942057604596,4.824197107871366,0.2996730232395232,0.5930932833567415,7.709801272070544,2.922234485863969e-14,6.843684306525936e-20,1.1179245881967975e-13,3.4255807071488457e-19,True,0.2996730232395232
Magnesium_obs_rate,1253,12981,0.10525259233105122,0.08349177851864596,0.2987282680186291,0.569562715917358,8.152169254221805,7.862322608349826e-16,3.739260780604876e-16,3.2333801726838658e-15,1.4473138786105932e-15,True,0.2987282680186291
Temp_max6,1240,12841,37.31274097504154,37.14067720559219,0.29254000782301687,0.580550140552816,7.563166352663837,7.184981633787453e-14,6.421194875799048e-21,2.717079261512726e-13,3.5806323968438754e-20,True,0.29254000782301687
Potassium_hours_since,1195,12745,5.148504471903566,5.990545538917809,-0.2917540378743505,0.4181666778833606,-8.959194305232188,1.0283273074440897e-18,7.264715189585801e-21,4.833138344987222e-18,3.9181824547110304e-20,True,0.2917540378743505
Glucose_n_obs,1253,12981,3.5832686694390947,2.7249316940443253,0.2905012796638535,0.5125653904014542,6.4947766352659775,1.1690801215154567e-10,0.14119410115531086,3.9652305152431466e-10,0.16757511589529378,True,0.2905012796638535
FiO2_dev,999,7380,0.10390277319156557,0.05842801972765885,0.2883272235420182,0.5741578977351335,7.341690758055792,3.908304551180425e-13,2.542619441920467e-14,1.4130024146575382e-12,8.623936045276636e-14,True,0.2883272235420182
BUN_dev,1177,12764,8.98868457101659,6.532681828472471,0.2822688198504725,0.5515347633677662,6.824508830139577,1.3577546516156247e-11,4.623976434303285e-09,4.6531383373077136e-11,1.143825749538181e-08,True,0.2822688198504725
Bilirubin_total_obs_rate,1253,12981,0.024179930699151298,0.014592526442384922,0.2775786177075577,0.5964998079026791,7.3650323518866925,3.0248798712138964e-13,9.141948125494211e-46,1.1057616418104132e-12,1.5038504666437978e-44,True,0.2775786177075577
O2Sat_dev,1253,12973,7.90387684203039,6.03137583835191,0.2775593205826458,0.5492161601026726,7.27991331430504,5.579962299821504e-13,8.270626528590888e-09,1.995443039827473e-12,2.0155823169677053e-08,True,0.2775593205826458
Temp_locf,1240,12841,37.048832807233254,36.90041147586611,0.27589384346770857,0.579666315807984,7.102708750054957,1.962489180889753e-12,1.6963811684814988e-20,6.868712133114135e-12,8.858879435403382e-20,True,0.27589384346770857
sofa_partial,1253,12980,1.4323852407268092,1.0905899615667025,0.27459220610523766,0.558424219469575,7.4871337213093225,1.240593814632976e-13,7.719720513083434e-12,4.638129147889194e-13,2.2278842533372366e-11,True,0.27459220610523766
HR_mean24,798,10310,88.40931083564472,84.5120251060804,0.27266151432363694,0.5787989007436146,7.058309300549131,3.3409130182141664e-12,1.0979896092420661e-13,1.1570109294657481e-11,3.5415547200062724e-13,True,0.27266151432363694
temp_hr_coupling,1240,12841,88.75312451085736,85.01374868139393,0.26901000108462053,0.5711222997907408,7.9978309988570215,2.6023990583673723e-15,1.1845402791533667e-16,1.057023815065266e-14,4.933085466347565e-16,True,0.26901000108462053
