number,value,state,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,duration
17,0.44363727763887356,COMPLETE,0.8395750770266146,0.3176365507247973,0.00027174674570833504,0.015218116007420996,1,5,63.38844167615187,0.008387968657470362,0.35208104613687746,0.5206445790697211,0 days 00:01:00.256313
18,0.41403897750372387,PRUNED,0.8309439071923949,0.5145423299438457,0.00010224373484808323,0.010756044258608944,0,5,79.45271068699628,0.004810785625270163,0.08590497387985231,0.5062955132607939,0 days 00:00:10.841642
19,0.43127207177000604,PRUNED,0.9436618713084892,0.41245572349769505,0.002900172202808165,0.04816568678420015,2,5,66.22426288475415,0.0211868226791637,2.4526843612274636,0.7076863774944352,0 days 00:00:13.013533
20,0.43444281020812814,COMPLETE,0.9368083636115102,0.5753341376703163,0.10767228389741565,0.02038599075916745,1,3,6.544900469871502,0.008526950783763415,0.034352989847354555,0.7166688768271253,0 days 00:00:35.697598
21,0.4257634055444449,PRUNED,0.7928614730888995,0.3429569231460066,0.0005249006213651105,0.014403541304049252,4,7,108.05219019404126,0.027783683376860675,6.999256042627669,0.5882313972417788,0 days 00:00:16.795822
22,0.4248282356443218,COMPLETE,0.9189040599328698,0.31174328894572423,0.08104951075862091,0.02683848141383161,1,3,101.95525844845508,0.0015931527772115434,0.012387312332114177,0.6164821076207989,0 days 00:00:23.772779
23,0.43122315019165586,COMPLETE,0.9561155271964548,0.39884334791405684,0.00016519147031841044,0.040079293413999385,1,3,91.72870214151787,0.002840902616638966,0.3190133437462337,0.512870055088259,0 days 00:00:22.102017
24,0.4352960281623531,COMPLETE,0.7393658240655544,0.3345949985424429,0.003200462882239026,0.0780540094486677,0,4,5.664885996433193,0.007580297033543274,0.10427491878325927,0.6463191603997972,0 days 00:00:18.221498
25,0.446956570237871,COMPLETE,0.8963683835419786,0.4043200523386549,0.005747368951979941,0.046910202766883145,3,3,24.750832199873116,0.04195714128235737,0.04798839085218323,0.5198836090499535,0 days 00:00:25.555138
26,0.4412463672451367,COMPLETE,0.7951928033378266,0.305979546892837,0.0392660938676801,0.034187677047552656,5,3,26.484776496431646,0.04219015133283855,0.020232347495142557,0.571268430375816,0 days 00:00:30.268616
27,0.4138827006510437,COMPLETE,0.8568752767105061,0.6565528153644613,0.009605369752962488,0.0194647348960308,2,3,20.34319445282356,1.0434836399997318,0.07592172805146795,0.5561562580578846,0 days 00:00:16.387567
